Query - FOOD
LEVELS - 3

('(', 'Cuisine', ', ', 'Cuisine', ')')
('(', 'Cuisine', ', ', 'Cooking', ')')
('(', 'Cuisine', ', ', 'Cuisine', ')')
('(', 'Cuisine', ', ', 'Cooking', ')')
('(', 'Home economics', ', ', 'Home economics', ')')
('(', 'Home economics', ', ', 'Applied sciences', ')')
('(', 'Home economics', ', ', 'Domestic life', ')')
('(', 'Home economics', ', ', 'Euthenics', ')')
('(', 'Home economics', ', ', 'Home', ')')
('(', 'Home economics', ', ', 'Family economics', ')')
('(', 'Home economics', ', ', 'Life skills', ')')
('(', 'Food', ', ', 'Foods', ')')
('(', 'Food', ', ', 'Cuisine', ')')
('(', 'Cooking', ', ', 'Cooking', ')')
('(', 'Cooking', ', ', 'Home economics', ')')
('(', 'Cooking', ', ', 'Survival skills', ')')
('(', 'Cooking', ', ', 'Cooking', ')')
('(', 'Cooking', ', ', 'Home economics', ')')
('(', 'Cooking', ', ', 'Survival skills', ')')
('(', 'Survival skills', ', ', 'Survival skills', ')')
('(', 'Survival skills', ', ', 'Foraging', ')')
('(', 'Foods', ', ', 'Foods', ')')
('(', 'Foods', ', ', 'Cuisine', ')')

Query - ROCK CONCERT
LEVELS - 3
('(', 'Musical improvisation', ', ', 'Musical improvisation', ')')
('(', 'Musical improvisation', ', ', 'Musical performance techniques', ')')
('(', 'Musical improvisation', ', ', 'Jazz techniques', ')')
('(', 'Musical improvisation', ', ', 'Musical improvisation', ')')
('(', 'Musical improvisation', ', ', 'Musical performance techniques', ')')
('(', 'Musical improvisation', ', ', 'Jazz techniques', ')')
('(', '20th century in music', ', ', '20th century in music', ')')
('(', '20th century in music', ', ', '20th century', ')')
('(', '20th century in music', ', ', 'Contemporary music', ')')
('(', '20th century in music', ', ', 'Rock music', ')')
('(', 'Contemporary classical music', ', ', 'Contemporary classical music', ')')
('(', 'Contemporary classical music', ', ', 'Contemporary music', ')')
('(', 'Contemporary classical music', ', ', 'Classical music', ')')
('(', 'Open content', ', ', 'Open content', ')')
('(', 'Open content', ', ', 'Digital art', ')')
('(', 'Open content', ', ', 'Free culture movement', ')')
('(', '2000 establishments in the United Kingdom', ', ', 'Political parties in the United Kingdom', ')')
('(', '2000 establishments in the United Kingdom', ', ', 'Political parties established in 2000', ')')
('(', '2000 establishments in the United Kingdom', ', ', '2000 establishments in the United Kingdom', ')')
('(', '2000 establishments in the United Kingdom', ', ', 'Single-issue political parties', ')')
('(', 'Lists of music genres', ', ', 'Electronic music genres', ')')
('(', 'Lists of music genres', ', ', 'Lists of music genres', ')')
('(', 'Free culture movement', ', ', 'Digital rights', ')')
('(', 'Free culture movement', ', ', 'Free goods and services', ')')
('(', 'Free culture movement', ', ', 'Free culture movement', ')')
('(', 'Free culture movement', ', ', 'Intellectual property activism', ')')
('(', 'Free culture movement', ', ', 'Criticism of intellectual property', ')')
('(', 'Free culture movement', ', ', 'Social movements', ')')
('(', 'Popular music', ', ', 'Music genres', ')')
('(', 'Popular music', ', ', 'Mass media', ')')
('(', 'Popular music', ', ', 'Popular music', ')')
('(', 'Popular music', ', ', 'Popular culture', ')')
('(', 'Popular music', ', ', 'Music genres', ')')
('(', 'Popular music', ', ', 'Mass media', ')')
('(', 'Popular music', ', ', 'Popular music', ')')
('(', 'Popular music', ', ', 'Popular culture', ')')
('(', 'American society', ', ', 'American society', ')')
('(', 'American society', ', ', 'American studies', ')')
('(', 'Indie rock record labels', ', ', 'Indie rock', ')')
('(', 'Indie rock record labels', ', ', '2000s in music', ')')
('(', 'Indie rock record labels', ', ', '2010s in music', ')')
('(', 'Indie rock record labels', ', ', '2000s fads and trends', ')')
('(', 'Entertainment in the United States', ', ', 'American culture', ')')
('(', 'Entertainment in the United States', ', ', 'American society', ')')
('(', 'Entertainment in the United States', ', ', 'American studies', ')')
('(', 'Entertainment in the United States', ', ', 'Arts in the United States', ')')
('(', 'Entertainment in the United States', ', ', 'Entertainment in the United States', ')')
('(', 'Music genres', ', ', 'Music genres', ')')
('(', 'Musical performance techniques', ', ', 'Musical techniques', ')')
('(', '1950s fads and trends', ', ', 'Rock music', ')')
('(', '1950s fads and trends', ', ', 'Rock music genres', ')')
('(', '1950s fads and trends', ', ', '20th-century music genres', ')')
('(', '1950s fads and trends', ', ', '21st-century music genres', ')')
('(', '1950s fads and trends', ', ', 'American culture', ')')
('(', '1950s fads and trends', ', ', 'British culture', ')')
('(', '1950s fads and trends', ', ', '1950s fads and trends', ')')
('(', '1950s fads and trends', ', ', 'Musical improvisation', ')')
('(', '1950s fads and trends', ', ', 'Popular music', ')')
('(', 'Record labels', ', ', 'Record labels', ')')
('(', 'Record labels', ', ', 'Music industry', ')')
('(', 'Record labels', ', ', 'Music videos', ')')
('(', 'Record labels established in 2006', ', ', 'Record labels established in 2006', ')')
('(', 'Record labels established in 2006', ', ', 'Electronic music record labels', ')')
('(', 'Record labels established in 2006', ', ', 'Electronic dance music record labels', ')')
('(', 'Record labels established in 2006', ', ', 'British independent record labels', ')')
('(', 'Record labels established in 2006', ', ', 'Indie rock record labels', ')')
('(', 'Record labels established in 2006', ', ', 'Beggars Group', ')')
('(', 'Record labels established in 2006', ', ', '2000 establishments in the United Kingdom', ')')
('(', 'American culture', ', ', 'American culture', ')')
('(', 'American culture', ', ', 'American society', ')')
('(', 'American culture', ', ', 'American studies', ')')
('(', 'American culture', ', ', 'Arts in the United States', ')')
('(', 'American culture', ', ', 'Entertainment in the United States', ')')
('(', 'American culture', ', ', 'American culture', ')')
('(', 'American culture', ', ', 'American society', ')')
('(', 'American culture', ', ', 'American studies', ')')
('(', 'American culture', ', ', 'Arts in the United States', ')')
('(', 'American culture', ', ', 'Entertainment in the United States', ')')
('(', 'Rock music genres', ', ', 'Rock music genres', ')')
('(', 'Rock music genres', ', ', 'Lists of music genres', ')')
('(', 'Rock music genres', ', ', 'Rock music genres', ')')
('(', 'Rock music genres', ', ', 'Lists of music genres', ')')
('(', 'Record label stubs', ', ', 'Open content', ')')
('(', 'Record label stubs', ', ', 'Free culture movement', ')')
('(', 'Record label stubs', ', ', 'Record labels', ')')
('(', 'Record label stubs', ', ', 'Netlabels', ')')
('(', 'Record label stubs', ', ', 'Record label stubs', ')')
('(', 'Netlabels', ', ', 'Record labels', ')')
('(', 'Netlabels', ', ', 'Music industry', ')')
('(', 'Netlabels', ', ', 'Open content', ')')
('(', 'Netlabels', ', ', 'Netlabels', ')')
('(', 'Popular culture', ', ', 'Popular culture', ')')
('(', 'Popular culture', ', ', 'Media studies', ')')
('(', 'Popular culture', ', ', 'Youth', ')')
('(', 'Rock music', ', ', 'Rock music', ')')
('(', 'Rock music', ', ', 'Rock music genres', ')')
('(', 'Rock music', ', ', '20th-century music genres', ')')
('(', 'Rock music', ', ', '21st-century music genres', ')')
('(', 'Rock music', ', ', 'American culture', ')')
('(', 'Rock music', ', ', 'British culture', ')')
('(', 'Rock music', ', ', '1950s fads and trends', ')')
('(', 'Rock music', ', ', 'Musical improvisation', ')')
('(', 'Rock music', ', ', 'Popular music', ')')
('(', 'Rock music', ', ', 'Rock music', ')')
('(', 'Rock music', ', ', 'Rock music genres', ')')
